Params: lr=0.1, n_d=15, n_a=18, gamma=1.5804091815086303, n_steps=7, lambda=0.002861199040994781, Score: 0.5004
Params: lr=0.1, n_d=17, n_a=15, gamma=1.4641060749913044, n_steps=7, lambda=0.0028314641161485098, Score: 0.4984
Params: lr=0.1, n_d=8, n_a=19, gamma=1.5228681991818274, n_steps=7, lambda=0.0022029475868397667, Score: 0.4985
Params: lr=0.1, n_d=13, n_a=15, gamma=1.5677413387582204, n_steps=7, lambda=0.001695676677631121, Score: 0.4931
Params: lr=0.1, n_d=18, n_a=28, gamma=1.6364226258104628, n_steps=6, lambda=0.00843239492034992, Score: 0.4999
Params: lr=0.07, n_d=15, n_a=21, gamma=1.425624517566978, n_steps=4, lambda=0.004301193104772683, Score: 0.4983
Params: lr=0.01, n_d=27, n_a=13, gamma=1.6063357406225263, n_steps=5, lambda=0.0039045166875662845, Score: 0.5026
Params: lr=0.07, n_d=16, n_a=26, gamma=1.6678958168004796, n_steps=7, lambda=0.0015015777645588579, Score: 0.5136
Params: lr=0.07, n_d=14, n_a=24, gamma=1.6611921057554841, n_steps=7, lambda=0.0013833792406057425, Score: 0.5020
Best parameters: {'n_d': 17, 'n_a': 32, 'gamma': 1.5041537257394377, 'n_steps': 6, 'lambda_sparse': 0.008091485347415031, 'lr': 0.1}
Best score: 0.5207
Params: lr=0.07, n_d=27, n_a=9, gamma=1.5437432198128016, n_steps=6, lambda=0.004469961703259242, Score: 0.5031
Params: lr=0.07, n_d=30, n_a=16, gamma=1.29570056299729, n_steps=5, lambda=0.0013129646624815635, Score: 0.5007
Params: lr=0.1, n_d=19, n_a=18, gamma=1.5537028463714655, n_steps=6, lambda=0.006405863662473027, Score: 0.5082
Params: lr=0.1, n_d=28, n_a=16, gamma=1.4580590563735194, n_steps=4, lambda=0.007113425637608629, Score: 0.5047
Params: lr=0.05, n_d=22, n_a=24, gamma=1.2783562402282074, n_steps=7, lambda=0.006172288842423645, Score: 0.4957
Params: lr=0.05, n_d=21, n_a=17, gamma=1.7013256514072195, n_steps=4, lambda=0.0010723631942161408, Score: 0.4916
Params: lr=0.07, n_d=14, n_a=11, gamma=1.5168934139496963, n_steps=3, lambda=0.004084051799486811, Score: 0.4925
Params: lr=0.05, n_d=9, n_a=17, gamma=1.3931838143240207, n_steps=5, lambda=0.007690172133445443, Score: 0.4951
Params: lr=0.05, n_d=13, n_a=19, gamma=1.5672795133994144, n_steps=5, lambda=0.007439570584410553, Score: 0.4876
Params: lr=0.01, n_d=30, n_a=16, gamma=1.216113446157648, n_steps=6, lambda=0.005442222259078493, Score: 0.4975
Params: lr=0.1, n_d=17, n_a=32, gamma=1.7537703322376628, n_steps=7, lambda=0.002316489688527309, Score: 0.5081
Params: lr=0.1, n_d=17, n_a=32, gamma=1.7467065144201384, n_steps=7, lambda=0.002250284093054232, Score: 0.4814
Params: lr=0.1, n_d=18, n_a=25, gamma=1.633712326254871, n_steps=6, lambda=0.002499600246246992, Score: 0.5179
Params: lr=0.1, n_d=25, n_a=25, gamma=1.6231916837745635, n_steps=6, lambda=0.002840249844637447, Score: 0.4867
Params: lr=0.1, n_d=18, n_a=24, gamma=1.658614076998738, n_steps=6, lambda=0.0016954794272117078, Score: 0.5037
Params: lr=0.01, n_d=23, n_a=26, gamma=1.4184696449798195, n_steps=6, lambda=0.009900765113710573, Score: 0.4852
Params: lr=0.1, n_d=14, n_a=28, gamma=1.5980435207924355, n_steps=4, lambda=0.0033797034633001257, Score: 0.4801
Params: lr=0.1, n_d=9, n_a=21, gamma=1.799120573175728, n_steps=7, lambda=0.0019110139736121985, Score: 0.5034
Params: lr=0.1, n_d=20, n_a=21, gamma=1.6489384513854177, n_steps=6, lambda=0.00302405519878133, Score: 0.4911
Params: lr=0.01, n_d=12, n_a=29, gamma=1.471718799744285, n_steps=5, lambda=0.004210122606930744, Score: 0.4925
Params: lr=0.1, n_d=19, n_a=13, gamma=1.3486099872460051, n_steps=3, lambda=0.005176299825037537, Score: 0.5237
